Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
10 Things I Hate About You,1999,PG-13,31-Mar-99,97,70,7.3,"286,162",tt0147800,N/A,10,7,4,5,Romance,9
12,2007,PG-13,20-Sep-07,159,72,7.7,"13,680",tt0488478,N/A,0,0,0,0,Comedy,0
12 and Holding,2005,R,7-Jul-06,94,65,7.5,"6,623",tt0417385,N/A,9,2,3,10,Drama,10
12 Monkeys,1995,R,5-Jan-96,129,74,8,"565,400",tt0114746,N/A,6,3,4,8,Sci-Fi,5
12 Years a Slave,2013,R,8-Nov-13,134,96,8.1,"617,390",tt2024544,"$50,628,650 ",0,1,25,1,Drama,0
127 Hours,2010,R,28-Jan-11,94,82,7.6,"339,139",tt1542344,"$18,329,466 ",3,0,1,18,Adventure,6
127 Hours,2010,R,28-Jan-11,94,82,7.6,"339,139",tt1542344,"$18,329,466 ",3,0,1,18,Thriller,6
1492: Conquest of Paradise,1992,PG-13,9-Oct-92,154,47,6.5,"27,491",tt0103594,N/A,2,0,3,1,Adventure,1
1492: Conquest of Paradise,1992,PG-13,9-Oct-92,154,47,6.5,"27,491",tt0103594,N/A,2,0,3,1,Adventure,1
15 Minutes,2001,R,9-Mar-01,120,34,6.1,"47,723",tt0179626,"$24,160,216 ",4,0,3,28,Action,16
15 Minutes,2001,R,9-Mar-01,120,34,6.1,"47,723",tt0179626,"$24,160,216 ",4,0,3,28,Thriller,16
17 Again,2009,PG-13,17-Apr-09,102,48,6.3,"175,034",tt0974661,"$64,087,443 ",0,1,1,0,Romance,1
2001: A Space Odyssey,1968,G,12-May-68,149,84,8.3,"581,882",tt0062622,"$135,620 ",0,0,3,0,Sci-Fi,0
2012,2009,PG-13,13-Nov-09,158,49,5.8,"345,022",tt1190080,"$166,112,167 ",4,0,5,1,Action,8
2012,2009,PG-13,13-Nov-09,158,49,5.8,"345,022",tt1190080,"$166,112,167 ",4,0,5,1,Sci-Fi,8
25th Hour,2002,R,10-Jan-03,135,67,7.6,"166,545",tt0307901,N/A,0,0,0,0,Crime,0
30 Minutes or Less,2011,R,12-Aug-11,83,49,6.1,"91,732",tt1622547,"$37,100,000 ",17,13,10,182,Adventure,65
42,2013,PG-13,12-Apr-13,128,62,7.5,"81,222",tt0453562,"$95,001,343 ",1,3,8,0,Drama,3
44 Inch Chest,2009,R,15-Jan-10,95,47,5.8,"6,420",tt0914837,N/A,0,4,1,179,Crime,7
48 Hrs.,1982,R,8-Dec-82,96,71,6.9,"66,938",tt0083511,N/A,33,8,28,26,Thriller,53
500 Days of Summer,2009,PG-13,7-Aug-09,95,76,7.7,"461,195",tt1022603,"$32,118,648 ",4,4,4,10,Romance,24
50-50,2011,N/A,N/A,15,N/A,6.1,34,tt1833204,N/A,4,2,2,26,Drama,15
9,2009,PG-13,9-Sep-09,79,60,7.1,"130,452",tt0472033,"$31,691,649 ",0,0,0,0,Sci-Fi,0
A Most Violent Year,2014,R,30-Jan-15,125,79,7,"64,487",tt2937898,N/A,1,0,1,29,Crime,10
A Prayer Before Dawn,2017,R,10-Aug-18,116,76,6.9,"18,806",tt4080956,N/A,4,0,0,29,Crime,4
A Scanner Darkly,2006,R,28-Jul-06,100,73,7.1,"104,320",tt0405296,"$5,281,537 ",5,0,6,70,Crime,29
A Serious Man,2009,R,6-Nov-09,106,83,7,"129,672",tt1019452,"$9,190,525 ",4,0,0,17,Comedy,6
Absolute Power,1997,R,14-Feb-97,121,52,6.7,"49,030",tt0118548,N/A,6,1,6,11,Thriller,11
Ace Ventura: Pet Detective,1994,PG-13,4-Feb-94,86,37,6.9,"270,197",tt0109040,N/A,0,0,0,0,Comedy,0
Affliction,1997,R,19-Feb-99,114,79,7,"14,661",tt0118564,N/A,8,11,22,53,Drama,17
After School Special,2017,TV-MA,27-Jun-17,78,N/A,2.3,214,tt3291632,N/A,9,0,6,2,Comedy,14
Air Force One,1997,R,25-Jul-97,124,61,6.5,"175,705",tt0118571,N/A,6,1,14,13,Thriller,10
Airplane!,1980,PG,2-Jul-80,88,78,7.7,"204,730",tt0080339,N/A,2,0,4,0,Romance,4
Ali,2001,R,25-Dec-01,157,65,6.8,"91,630",tt0248667,"$58,183,966 ",3,0,6,11,Drama,2
Alien Nation,1988,R,7-Oct-88,91,45,6.3,"13,735",tt0094631,N/A,8,5,12,2,Sci-Fi,20
Aliens,1986,R,18-Jul-86,137,84,8.3,"634,359",tt0090605,N/A,4,3,6,22,Horror,14
All About Eve,1950,Passed,27-Oct-50,138,98,8.2,"116,403",tt0042192,N/A,0,0,1,0,Drama,0
All About Steve,2009,PG-13,4-Sep-09,99,17,4.8,"39,062",tt0881891,"$33,806,061 ",9,0,2,1,Comedy,2
All the King's Men,2006,PG-13,22-Sep-06,128,37,6.2,"23,302",tt0405676,N/A,0,0,0,0,Drama,0
All the President's Men,1976,PG,9-Apr-76,138,84,8,"98,744",tt0074119,N/A,1,1,19,25,Thriller,15
Almost Famous,2000,R,22-Sep-00,122,90,7.9,"244,995",tt0181875,"$31,716,715 ",3,0,3,21,Romance,2
Amadeus,1984,R,19-Sep-84,160,88,8.3,"357,893",tt0086879,N/A,0,0,3,2,Drama,6
Amelia,2009,PG,23-Oct-09,111,37,5.8,"11,770",tt1129445,"$14,195,118 ",2,0,5,1,Drama,1
American Beauty,1999,R,1-Oct-99,122,84,8.3,"1,041,670",tt0169547,N/A,7,2,3,21,Drama,10
American Gangster,2007,R,2-Nov-07,157,76,7.8,"381,260",tt0765429,"$130,127,620 ",3,1,5,79,Crime,10
American Graffiti,1973,PG,11-Aug-73,110,97,7.4,"79,136",tt0069704,N/A,7,11,8,0,Drama,11
American History X,1998,R,20-Nov-98,119,62,8.5,"1,005,357",tt0120586,N/A,25,11,8,161,Thriller,54
