,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginTitle,totalSeasons
0,One Eight Seven,1997.0,R,30 Jul 1997,119 min,"Drama, Thriller",Kevin Reynolds,Scott Yagemann,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr.","15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.","English, Spanish",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTc1MTUxNmYtY2I3My00MmNkLWI3NmUtMDc1YWNhMzBiMDQzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",41.0,6.7,"21,588",tt0118531,movie,05 Jun 2001,N/A,Warner Home Video,N/A,True,One Eight Seven,
1,One Eight Seven,1997.0,R,30 Jul 1997,119 min,"Drama, Thriller",Kevin Reynolds,Scott Yagemann,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr.","15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.","English, Spanish",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTc1MTUxNmYtY2I3My00MmNkLWI3NmUtMDc1YWNhMzBiMDQzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '30%'}",41.0,6.7,"21,588",tt0118531,movie,05 Jun 2001,N/A,Warner Home Video,N/A,True,One Eight Seven,
2,One Eight Seven,1997.0,R,30 Jul 1997,119 min,"Drama, Thriller",Kevin Reynolds,Scott Yagemann,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr.","15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.","English, Spanish",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTc1MTUxNmYtY2I3My00MmNkLWI3NmUtMDc1YWNhMzBiMDQzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '41/100'}",41.0,6.7,"21,588",tt0118531,movie,05 Jun 2001,N/A,Warner Home Video,N/A,True,One Eight Seven,
0,Airplane II: The Sequel,1982.0,PG,10 Dec 1982,85 min,"Comedy, Sci-Fi",Ken Finkleman,Ken Finkleman,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn",A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmVkYjg2MDUtN2ExNi00N2QzLTliOWYtMjAzYWNlYjQ1MWZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",48.0,6.2,"47,577",tt0083530,movie,24 Oct 2000,N/A,Paramount Home Video,N/A,True,Airplane II: The Sequel,
1,Airplane II: The Sequel,1982.0,PG,10 Dec 1982,85 min,"Comedy, Sci-Fi",Ken Finkleman,Ken Finkleman,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn",A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmVkYjg2MDUtN2ExNi00N2QzLTliOWYtMjAzYWNlYjQ1MWZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '42%'}",48.0,6.2,"47,577",tt0083530,movie,24 Oct 2000,N/A,Paramount Home Video,N/A,True,Airplane II: The Sequel,
2,Airplane II: The Sequel,1982.0,PG,10 Dec 1982,85 min,"Comedy, Sci-Fi",Ken Finkleman,Ken Finkleman,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn",A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmVkYjg2MDUtN2ExNi00N2QzLTliOWYtMjAzYWNlYjQ1MWZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '48/100'}",48.0,6.2,"47,577",tt0083530,movie,24 Oct 2000,N/A,Paramount Home Video,N/A,True,Airplane II: The Sequel,
0,Bones,2005–2017,TV-14,13 Sep 2005,40 min,"Comedy, Crime, Drama, Mystery, Romance",N/A,Hart Hanson,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","English, Spanish",USA,Nominated for 2 Primetime Emmys. Another 8 wins & 40 nominations.,https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",N/A,7.8,"134,811",tt0460627,series,,,,,True,Bones,12.0
0,The Boondock Saints II: All Saints Day,2009,R,11 Dec 2009,118 min,"Action, Crime, Thriller",Troy Duffy,"Troy Duffy (screenplay), Troy Duffy (story), Taylor Duffy (story)","Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.","The MacManus brothers are living a quiet life in Ireland with their father, but when they learn that their beloved priest has been killed by mob forces, they go back to Boston to bring justice to those responsible and avenge the priest.","English, Italian, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTY4MDMxNzM2M15BMl5BanBnXkFtZTcwNjk5MzU5Mg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",24,6.3,"60,569",tt1300851,movie,09 Mar 2010,"$10,150,172",Apparition,N/A,True,Boondock Saints ii: All Saints Day,
1,The Boondock Saints II: All Saints Day,2009,R,11 Dec 2009,118 min,"Action, Crime, Thriller",Troy Duffy,"Troy Duffy (screenplay), Troy Duffy (story), Taylor Duffy (story)","Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.","The MacManus brothers are living a quiet life in Ireland with their father, but when they learn that their beloved priest has been killed by mob forces, they go back to Boston to bring justice to those responsible and avenge the priest.","English, Italian, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTY4MDMxNzM2M15BMl5BanBnXkFtZTcwNjk5MzU5Mg@@._V1_SX300.jpg,"{'Source': 'Rotten Tomatoes', 'Value': '23%'}",24,6.3,"60,569",tt1300851,movie,09 Mar 2010,"$10,150,172",Apparition,N/A,True,Boondock Saints ii: All Saints Day,
2,The Boondock Saints II: All Saints Day,2009,R,11 Dec 2009,118 min,"Action, Crime, Thriller",Troy Duffy,"Troy Duffy (screenplay), Troy Duffy (story), Taylor Duffy (story)","Sean Patrick Flanery, Norman Reedus, Billy Connolly, Clifton Collins Jr.","The MacManus brothers are living a quiet life in Ireland with their father, but when they learn that their beloved priest has been killed by mob forces, they go back to Boston to bring justice to those responsible and avenge the priest.","English, Italian, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTY4MDMxNzM2M15BMl5BanBnXkFtZTcwNjk5MzU5Mg@@._V1_SX300.jpg,"{'Source': 'Metacritic', 'Value': '24/100'}",24,6.3,"60,569",tt1300851,movie,09 Mar 2010,"$10,150,172",Apparition,N/A,True,Boondock Saints ii: All Saints Day,
