Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
28 Days Later,2002.0,R,27 Jun 2003,113 min,73.0,7.6,"367,331",tt0289043,"$44,900,469",28 Days Later,Horror,0,0,0,48,12
8MM,1999.0,R,26 Feb 1999,123 min,19.0,6.5,"120,927",tt0134273,N/A,8MM,Mystery,2,1,1,52,8
A Dry White Season,1989.0,R,20 Sep 1989,106 min,68.0,7.0,"4,806",tt0097243,N/A,A Dry White Season,Thriller,0,0,4,3,7
A Few Good Men,1992.0,R,11 Dec 1992,138 min,62.0,7.7,"227,719",tt0104257,N/A,A Few Good Men,Mystery,5,1,10,13,14
A Nightmare on Elm Street,1984.0,R,16 Nov 1984,91 min,76.0,7.5,"198,579",tt0087800,N/A,A Nightmare on Elm Street,Mystery,4,0,8,11,8
A Perfect World,1993.0,PG-13,24 Nov 1993,138 min,71.0,7.6,"71,562",tt0107808,N/A,A Perfect World,Crime,9,3,13,2,12
A Quiet Place,2018.0,PG-13,06 Apr 2018,90 min,82.0,7.5,"383,773",tt6644200,N/A,A Quiet Place,Horror,0,0,0,0,0
A Walk to Remember,2002.0,PG,25 Jan 2002,101 min,35.0,7.4,"195,121",tt0281358,"$41,090,572",A Walk to Remember,Romance,1,0,0,0,5
Above the Law,1988.0,R,22 Apr 1988,99 min,45.0,6.0,"27,778",tt0094602,N/A,Above the Law,Action,16,2,5,29,10
After.Life,2009.0,R,26 Aug 2010,104 min,36.0,5.9,"35,655",tt0838247,N/A,After.Life,Horror,0,1,0,19,6
Agnes of God,1985.0,PG-13,27 Sep 1985,98 min,52.0,6.6,"6,581",tt0088683,N/A,Agnes of God,Mystery,0,1,1,0,2
Aladdin,1992.0,G,25 Nov 1992,90 min,86.0,8.0,"359,318",tt0103639,N/A,Aladdin,Musical,0,0,0,0,0
Alien,1979.0,R,22 Jun 1979,117 min,89.0,8.4,"759,818",tt0078748,N/A,Alien,Horror,0,0,11,1,5
Alien 3,1992.0,R,22 May 1992,114 min,59.0,6.5,"269,549",tt0103644,N/A,Alien 3,Horror,1,0,3,6,7
Alien vs. Predator,2004.0,PG-13,13 Aug 2004,101 min,29.0,5.6,"180,405",tt0370263,"$80,218,314",Alien vs. Predator,Horror,3,3,6,15,16
Alien: Resurrection,1997.0,R,26 Nov 1997,109 min,63.0,6.2,"222,700",tt0118583,N/A,Alien: Resurrection,Horror,7,6,8,88,13
Alone in the Dark,2005.0,R,28 Jan 2005,96 min,9.0,2.4,"41,244",tt0369226,"$5,132,655",Alone in the Dark,Horror,3,0,5,1,1
American Outlaws,2001.0,PG-13,17 Aug 2001,94 min,25.0,6.0,"13,678",tt0244000,"$11,888,985",American Outlaws,Western,1,3,9,0,2
American Psycho,2000.0,R,14 Apr 2000,101 min,64.0,7.6,"466,451",tt0144084,N/A,American Psycho,Horror,7,11,3,37,5
American Werewolf in London,1981.0,R,21 Aug 1981,97 min,60.0,7.5,"88,546",tt0082010,N/A,American Werewolf in London,Horror,4,0,1,9,7
