,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,127 Hours,2010.0,R,28 Jan 2011,94 min,82,7.6,"339,139",tt1542344,"$18,329,466"
0,15 Minutes,2001.0,R,09 Mar 2001,120 min,34,6.1,"47,723",tt0179626,"$24,160,216"
0,1492: Conquest of Paradise,1992.0,PG-13,09 Oct 1992,154 min,47,6.5,"27,491",tt0103594,N/A
0,2012,2009.0,PG-13,13 Nov 2009,158 min,49,5.8,"345,022",tt1190080,"$166,112,167"
0,Lord of Illusions,1995.0,R,25 Aug 1995,109 min,N/A,6.1,"14,199",tt0113690,N/A
0,Mimic,1997.0,R,22 Aug 1997,105 min,55,5.9,"44,905",tt0119675,N/A
0,War Horse,2011.0,PG-13,25 Dec 2011,146 min,72,7.2,"143,515",tt1568911,"$79,883,359"
0,Station West,1948.0,Approved,01 Sep 1948,97 min,N/A,6.6,882,tt0040835,N/A
0,Suspect Zero,2004.0,R,27 Aug 2004,99 min,37,5.8,"18,572",tt0324127,"$8,570,393"
0,Manhunter,1986.0,R,15 Aug 1986,120 min,75,7.2,"63,266",tt0091474,N/A
0,Aliens,1986.0,R,18 Jul 1986,137 min,84,8.3,"634,359",tt0090605,N/A
0,Swordfish,2001.0,R,08 Jun 2001,99 min,32,6.5,"173,365",tt0244244,N/A
0,U Turn,1997.0,R,03 Oct 1997,125 min,54,6.8,"48,185",tt0120399,N/A
0,Take Shelter,2011.0,R,10 Nov 2011,120 min,85,7.4,"88,699",tt1675192,"$1,600,000"
0,Syriana,2005.0,R,09 Dec 2005,128 min,76,6.9,"123,836",tt0365737,"$50,800,000"
0,Training Day,2001.0,R,05 Oct 2001,122 min,69,7.7,"378,654",tt0139654,N/A
0,Two for the Money,2005.0,R,07 Oct 2005,122 min,50,6.3,"42,584",tt0417217,"$22,862,049"
0,Wall Street: Money Never Sleeps,2010.0,PG-13,24 Sep 2010,133 min,59,6.2,"96,388",tt1027718,"$52,474,616"
0,Warm Springs,2005.0,Not Rated,30 Apr 2005,121 min,N/A,7.5,"2,473",tt0423510,N/A
0,American Wrestler: The Wizard,2016.0,PG-13,16 May 2017,117 min,N/A,7.2,"1,807",tt4303202,N/A
0,You Can Count on Me,2000.0,R,22 Dec 2000,111 min,85,7.5,"27,273",tt0203230,"$8,409,329"
0,Warrior,2011.0,PG-13,09 Sep 2011,140 min,71,8.2,"423,944",tt1291584,"$13,600,000"
0,Under Fire,1983.0,R,21 Oct 1983,128 min,N/A,7.0,"6,556",tt0086510,N/A
0,Trainspotting,1996.0,R,09 Aug 1996,93 min,83,8.1,"619,568",tt0117951,N/A
0,Sling Blade,1996.0,R,14 Mar 1997,135 min,84,8.0,"85,323",tt0117666,N/A
0,Taking Sides,2001.0,Not Rated,07 Mar 2002,108 min,61,7.2,"2,993",tt0260414,N/A
0,Thirteen Days,2000.0,PG-13,12 Jan 2001,145 min,67,7.3,"52,749",tt0146309,N/A
0,Straight Outta Compton,2015.0,R,14 Aug 2015,147 min,72,7.9,"175,063",tt1398426,"$129,402,415"
0,Sugar,2008.0,R,24 Apr 2009,114 min,82,7.2,"4,503",tt0990413,"$1,037,595"
0,Snow Falling on Cedars,1999.0,PG-13,07 Jan 2000,127 min,44,6.7,"13,473",tt0120834,N/A
0,Rebel Without a Cause,1955.0,PG-13,24 Nov 1955,111 min,89,7.7,"81,022",tt0048545,N/A
0,Raging Bull,1980.0,R,19 Dec 1980,129 min,89,8.2,"310,546",tt0081398,N/A
0,Room,2015.0,R,22 Jan 2016,118 min,86,8.1,"351,480",tt3170832,"$14,677,654"
0,Shame,2011.0,NC-17,13 Jan 2012,101 min,72,7.2,"178,488",tt1723811,"$2,971,782"
0,Precious,2009.0,R,20 Nov 2009,110 min,78,7.3,"103,598",tt0929632,"$47,536,959"
0,"Sex, Lies, and Videotape",1989.0,R,22 Sep 1989,100 min,86,7.2,"48,347",tt0098724,N/A
0,Shampoo,1975.0,R,13 Mar 1975,109 min,65,6.3,"10,200",tt0073692,N/A
0,RKO 281,1999.0,R,20 Nov 1999,86 min,N/A,7.0,"5,558",tt0120801,N/A
0,Rush,2013.0,R,27 Sep 2013,123 min,74,8.1,"419,377",tt1979320,"$22,442,876"
0,Rambling Rose,1991.0,R,20 Sep 1991,112 min,N/A,6.6,"4,482",tt0102753,N/A
0,This Boy's Life,1993.0,R,23 Apr 1993,115 min,60,7.3,"45,100",tt0108330,N/A
0,To Sleep with Anger,1990.0,PG,12 Oct 1990,102 min,N/A,7.3,"1,640",tt0100791,N/A
0,Purple Rain,1984.0,R,27 Jul 1984,111 min,55,6.6,"18,889",tt0087957,N/A
0,Prom Queen: The Marc Hall Story,2004.0,N/A,01 Jun 2004,92 min,N/A,6.6,856,tt0410953,N/A
0,The Power of One: The Pokemon 2000 Movie Special,2000.0,N/A,16 Jul 2000,30 min,N/A,8.1,43,tt0382918,N/A
0,Top Gun,1986.0,PG,16 May 1986,110 min,50,6.9,"283,087",tt0092099,N/A
0,Pariah,2011.0,R,20 Jan 2011,86 min,79,7.2,"5,885",tt1233334,"$758,099"
0,Petulia,1968.0,R,02 Sep 1968,105 min,N/A,7.1,"2,705",tt0063426,N/A
0,Wonder Boys,2000.0,R,25 Feb 2000,107 min,73,7.3,"60,120",tt0185014,N/A
0,The Withnail and I Drinking Game,2006.0,N/A,N/A,15 min,N/A,5.3,17,tt0870218,N/A
