,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,127 hours,Adventure,3,0,1,18,6,0.0,2010.0,R,28 Jan 2011,94 min,82.0,7.6,"339,139",tt1542344,"$18,329,466"
1,15 minutes,Action,4,0,3,28,16,0.0,2001.0,R,09 Mar 2001,120 min,34.0,6.1,"47,723",tt0179626,"$24,160,216"
2,1492: conquest of paradise,Adventure,2,0,3,1,1,0.0,1992.0,PG-13,09 Oct 1992,154 min,47.0,6.5,"27,491",tt0103594,
3,2012,Action,4,0,5,1,8,0.0,2009.0,PG-13,13 Nov 2009,158 min,49.0,5.8,"345,022",tt1190080,"$166,112,167"
4,lord of illusions,Horror,2,1,4,32,18,0.0,1995.0,R,25 Aug 1995,109 min,,6.1,"14,199",tt0113690,
5,mimic,Horror,1,1,1,16,17,0.0,1997.0,R,22 Aug 1997,105 min,55.0,5.9,"44,905",tt0119675,
6,war horse,War,0,0,1,0,0,0.0,2011.0,PG-13,25 Dec 2011,146 min,72.0,7.2,"143,515",tt1568911,"$79,883,359"
7,station west,Western,0,0,0,0,0,0.0,1948.0,Approved,01 Sep 1948,97 min,,6.6,882,tt0040835,
8,"searchers, the",Western,0,0,0,0,0,,,,,,,,,,
9,suspect zero,Horror,4,0,3,31,13,0.0,2004.0,R,27 Aug 2004,99 min,37.0,5.8,"18,572",tt0324127,"$8,570,393"
10,manhunter,Horror,2,3,6,8,5,0.0,1986.0,R,15 Aug 1986,120 min,75.0,7.2,"63,266",tt0091474,
11,aliens,Horror,4,3,6,22,14,0.0,1986.0,R,18 Jul 1986,137 min,84.0,8.3,"634,359",tt0090605,
12,swordfish,Thriller,11,2,2,29,18,0.0,2001.0,R,08 Jun 2001,99 min,32.0,6.5,"173,365",tt0244244,
13,"tourist, the",Thriller,0,0,2,1,3,,,,,,,,,,
14,u turn,Thriller,17,15,23,63,27,0.0,1997.0,R,03 Oct 1997,125 min,54.0,6.8,"48,185",tt0120399,
15,take shelter,Thriller,1,2,1,4,10,0.0,2011.0,R,10 Nov 2011,120 min,85.0,7.4,"88,699",tt1675192,"$1,600,000"
