,Film_x,Genre,A,B,D,F,S,test,Unnamed: 0,Film_y,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,127 Hours,Adventure,3,0,1,18,6,127 hours,0,127 Hours,2010.0,R,28 Jan 2011,94 min,82.0,7.6,"339,139",tt1542344,"$18,329,466"
1,127 Hours,Thriller,3,0,1,18,6,127 hours,0,127 Hours,2010.0,R,28 Jan 2011,94 min,82.0,7.6,"339,139",tt1542344,"$18,329,466"
2,15 Minutes,Action,4,0,3,28,16,15 minutes,0,15 Minutes,2001.0,R,09 Mar 2001,120 min,34.0,6.1,"47,723",tt0179626,"$24,160,216"
3,15 Minutes,Thriller,4,0,3,28,16,15 minutes,0,15 Minutes,2001.0,R,09 Mar 2001,120 min,34.0,6.1,"47,723",tt0179626,"$24,160,216"
4,1492: Conquest of Paradise,Adventure,2,0,3,1,1,1492: conquest of paradise,0,1492: Conquest of Paradise,1992.0,PG-13,09 Oct 1992,154 min,47.0,6.5,"27,491",tt0103594,
5,1492: Conquest of Paradise,Adventure,2,0,3,1,1,1492: conquest of paradise,0,1492: Conquest of Paradise,1992.0,PG-13,09 Oct 1992,154 min,47.0,6.5,"27,491",tt0103594,
6,2012,Action,4,0,5,1,8,2012,0,2012,2009.0,PG-13,13 Nov 2009,158 min,49.0,5.8,"345,022",tt1190080,"$166,112,167"
7,2012,Sci-Fi,4,0,5,1,8,2012,0,2012,2009.0,PG-13,13 Nov 2009,158 min,49.0,5.8,"345,022",tt1190080,"$166,112,167"
8,Lord of Illusions,Horror,2,1,4,32,18,lord of illusions,0,Lord of Illusions,1995.0,R,25 Aug 1995,109 min,,6.1,"14,199",tt0113690,
9,Mimic,Horror,1,1,1,16,17,mimic,0,Mimic,1997.0,R,22 Aug 1997,105 min,55.0,5.9,"44,905",tt0119675,
10,War Horse,War,0,0,1,0,0,war horse,0,War Horse,2011.0,PG-13,25 Dec 2011,146 min,72.0,7.2,"143,515",tt1568911,"$79,883,359"
11,Station West,Western,0,0,0,0,0,station west,0,Station West,1948.0,Approved,01 Sep 1948,97 min,,6.6,882,tt0040835,
12,Suspect Zero,Horror,4,0,3,31,13,suspect zero,0,Suspect Zero,2004.0,R,27 Aug 2004,99 min,37.0,5.8,"18,572",tt0324127,"$8,570,393"
13,Manhunter,Horror,2,3,6,8,5,manhunter,0,Manhunter,1986.0,R,15 Aug 1986,120 min,75.0,7.2,"63,266",tt0091474,
14,Aliens,Horror,4,3,6,22,14,aliens,0,Aliens,1986.0,R,18 Jul 1986,137 min,84.0,8.3,"634,359",tt0090605,
15,Swordfish,Thriller,11,2,2,29,18,swordfish,0,Swordfish,2001.0,R,08 Jun 2001,99 min,32.0,6.5,"173,365",tt0244244,
16,U Turn,Thriller,17,15,23,63,27,u turn,0,U Turn,1997.0,R,03 Oct 1997,125 min,54.0,6.8,"48,185",tt0120399,
17,Take Shelter,Thriller,1,2,1,4,10,take shelter,0,Take Shelter,2011.0,R,10 Nov 2011,120 min,85.0,7.4,"88,699",tt1675192,"$1,600,000"
18,Syriana,Thriller,4,0,8,19,12,syriana,0,Syriana,2005.0,R,09 Dec 2005,128 min,76.0,6.9,"123,836",tt0365737,"$50,800,000"
19,Training Day,Thriller,44,11,6,121,104,training day,0,Training Day,2001.0,R,05 Oct 2001,122 min,69.0,7.7,"378,654",tt0139654,
20,Two For The Money,Thriller,16,6,12,104,22,two for the money,0,Two for the Money,2005.0,R,07 Oct 2005,122 min,50.0,6.3,"42,584",tt0417217,"$22,862,049"
21,Wall Street: Money Never Sleeps,Drama,6,3,3,35,12,wall street: money never sleeps,0,Wall Street: Money Never Sleeps,2010.0,PG-13,24 Sep 2010,133 min,59.0,6.2,"96,388",tt1027718,"$52,474,616"
22,Warm Springs,Drama,0,3,13,0,0,warm springs,0,Warm Springs,2005.0,Not Rated,30 Apr 2005,121 min,,7.5,"2,473",tt0423510,
23,You Can Count On Me,Drama,4,1,4,15,16,you can count on me,0,You Can Count on Me,2000.0,R,22 Dec 2000,111 min,85.0,7.5,"27,273",tt0203230,"$8,409,329"
24,Warrior,Drama,1,3,3,1,14,warrior,0,Warrior,2011.0,PG-13,09 Sep 2011,140 min,71.0,8.2,"423,944",tt1291584,"$13,600,000"
25,Under Fire,Drama,4,2,7,29,4,under fire,0,Under Fire,1983.0,R,21 Oct 1983,128 min,,7.0,"6,556",tt0086510,
26,Trainspotting,Drama,0,0,0,104,5,trainspotting,0,Trainspotting,1996.0,R,09 Aug 1996,93 min,83.0,8.1,"619,568",tt0117951,
