Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
A Monkey in Winter,Comedy,1962,N/A,31-Jan-63,105,,7.6,2,tt0056636,,0,0,0,0,0
Airplane II: The Sequel,Sci-Fi,1982,PG,10-Dec-82,85,48,6.2,47,tt0083530,,1,0,7,2,4
Blast from the Past,Romance,1999,PG-13,12-Feb-99,112,48,6.6,57,tt0124298,,3,6,12,4,6
"Bodies, Rest & Motion",Romance,1993,R,9-Apr-93,95,,5.7,2,tt0106447,,3,0,0,19,19
Boondock Saints ii: All Saints Day,Thriller,2009,R,11-Dec-09,118,24,6.3,60,tt1300851,,20,7,4,115,55
Complete Guide to Guys,Comedy,2005,PG-13,30-May-06,83,,4.4,383,tt0407680,,2,0,0,0,10
"Crazy, Stupid, Love",Romance,2011,PG-13,29-Jul-11,118,68,7.4,459,tt1570728,,11,1,6,4,11
Crooks in Cloisters,Crime,1964,Not Rated,11-Aug-64,97,,5.6,278,tt0057974,,0,0,0,0,0
"Crouching Tiger, Hidden Dragon",Romance,2000,PG-13,12-Jan-01,120,94,7.8,248,tt0190332,,0,0,0,0,0
Evil Dead II,Horror,1987,R,13-Mar-87,84,69,7.8,143,tt0092991,,0,3,2,0,1
Freddy's Dead: The Final Nightmare,Mystery,1991,R,13-Sep-91,89,39,4.9,40,tt0101917,,3,3,2,10,17
Fright Night,Horror,2011,R,19-Aug-11,106,64,6.3,97,tt1438176,,5,1,7,3,3
Frozen,Animation,2013,PG,27-Nov-13,102,75,7.4,556,tt2294629,,0,0,0,0,0
Glengarry Glen Ross,Drama,1992,R,2-Oct-92,100,82,7.7,92,tt0104348,,17,0,6,147,42
"Happy Birthday, Wanda June",Comedy,1971,R,9-Dec-71,105,,6.1,248,tt0067180,,4,7,10,10,11
Harold & Kumar Go to White Castle,Adventure,2004,R,30-Jul-04,88,64,7.1,178,tt0366551,,42,3,1,53,66
Hellboy II: The Golden Army,Fantasy,2008,PG-13,11-Jul-08,120,78,7,251,tt0411477,,4,1,2,0,1
Hellraiser iii: Hell on Earth,Horror,1992,R,11-Sep-92,97,50,5.5,26,tt0104409,,5,5,3,20,19
